Place name,Year,January,February,March,April,May,June,July,August,September,October,November,December,Whole year,Coordinates
Kotlas,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('46.703403'), Decimal('61.237562'))"
Krasnodar (Paszkowski),2017,223845,201001,239383,257566,306314,318777,363060,373737,340780,303514,284759,605.66,3494987,"(Decimal('39.139669'), Decimal('45.033923'))"
Krasnoselkup,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('82.460555'), Decimal('65.716517'))"
Krasnoyarsk (Emelyanovo),2017,141461,138547,163386,166982,177164,202843,236740,238042,209576,191387,190435,1558.5,2258634,"(Decimal('92.486391'), Decimal('56.180578'))"
Krasnoyarsk (Cheremshanka),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('92.486391'), Decimal('56.180578'))"
Mound,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('65.411582'), Decimal('55.462896'))"
Kurilsk (Clear),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('145.681308'), Decimal('43.959284'))"
Kursk (Eastern),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('36.282442'), Decimal('51.749429'))"
red,2017,1391,1855,2157,2395,2570,1923,2032,1789,1814,2304,2260,1.47,24786,"(Decimal('94.40495'), Decimal('51.676108'))"
Labozhskoe,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('52.092791'), Decimal('67.329986'))"
Zabaykalsk,2017,3938,3808,4483,4812,5328,5575,5316,5792,4768,4728,5096,69.52,58088,"(Decimal('114.831553'), Decimal('60.722585'))"
Лешуконское,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('45.739403'), Decimal('64.893683'))"
Lipetsk,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('39.524561'), Decimal('52.698037'))"
Magadan (Magadan-13),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('150.918648'), Decimal('59.623593'))"
Magadan (Falcon),2017,20707,19760,24020,26085,30626,36391,44962,45930,40254,32508,28033,832,376794,"(Decimal('150.73116'), Decimal('59.914272'))"
Magnitogorsk,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('58.761516'), Decimal('53.391002'))"
Maikop,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,Not found
Mom,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('112.894758'), Decimal('58.314348'))"
Manila,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('165.340345'), Decimal('62.48391'))"
brand,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('170.415063'), Decimal('64.668558'))"
Makhachkala (Uytash),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('47.655707'), Decimal('42.820909'))"
Mezhdurechensk,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,Not found
Mezen,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('44.214755'), Decimal('65.873771'))"
Milkovo,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('158.568826'), Decimal('54.681956'))"
Mineral water,2017,154865,148913,157776,162732,189310,200802,225323,229152,214469,188963,157838,185.12,2180178,"(Decimal('43.087648'), Decimal('44.217799'))"
Peaceful,2017,22728,21015,25642,22751,26825,32821,33817,36482,30357,27315,24261,1035.71,329446,"(Decimal('114.022431'), Decimal('62.531382'))"
Moscow (Bykovo),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,Not found
Moscow (Vnukovo),2017,1080047,1008125,1136264,1276869,1515374,1845726,2094108,2071352,1906015,1588005,1283681,6579.24,18138865,"(Decimal('37.295014'), Decimal('55.608562'))"
Moscow (Domodedovo),2017,2089356,1817757,2078000,2270115,2620156,2994124,3512406,3521769,3138883,2530505,2037611,11631.97,30657854,"(Decimal('37.767995'), Decimal('55.437168'))"
Moscow (Ostafyevo),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,Not found
Moscow (Sheremetyevo),2017,2686564,2514553,2856716,3042362,3233900,3614544,4160642,4081123,3697588,3539229,3100289,27535.1,39641443,"(Decimal('37.405974'), Decimal('55.962962'))"
Мотыгино,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('94.738926'), Decimal('58.181907'))"
Murmansk,2017,57588,53955,59463,59307,67590,80489,90839,93276,79870,67812,64059,179,846440,"(Decimal('32.758163'), Decimal('68.784743'))"
Cape Schmidt,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('-179.380105'), Decimal('68.864431'))"
Cape-Stone,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,Not found
Nadym,2017,12293,9964,11738,11767,16014,16930,17711,17620,16271,12003,12013,41.18,169313,"(Decimal('72.69258'), Decimal('65.479934'))"
Nazran (Magas / Sleptsovskaya),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,Not found
Nalchik,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('43.635863'), Decimal('43.508409'))"
Naryan-Mar,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('53.086319'), Decimal('67.633534'))"
Nelkan,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('136.162463'), Decimal('57.648494'))"
Nerungri (Chulman),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('124.899763'), Decimal('56.905386'))"
Nes,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('44.666347'), Decimal('66.596872'))"
Nižneangarsk,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('109.599145'), Decimal('55.801344'))"
Nizhnevartovsk,2017,43864,40603,46894,48572,52790,70032,78988,79061,66803,50495,44149,394.7,669872,"(Decimal('76.494691'), Decimal('60.951112'))"
Kazan (Begiševo),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('52.101325'), Decimal('55.564404'))"
Nizhneudinsk,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('99.063101'), Decimal('54.896019'))"
Nizhny Novgorod (Strigino),2017,48539,47505,54696,57602,79164,105225,116091,117271,114493,87225,67052,126.02,961491,"(Decimal('43.791127'), Decimal('56.219628'))"
lower Pesha,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('47.722119'), Decimal('66.739662'))"
Nikolaevsk-on-Amur,2017,1945,2091,2561,2833,3006,3354,4028,3875,3730,3057,2796,4.37,35415,"(Decimal('140.663597'), Decimal('53.149961'))"
Nikolskoye,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('166.043519'), Decimal('55.177036'))"
Novokuznetsk,2017,16915,16380,18372,17425,16998,22100,25266,25005,22413,16376,18163,339.7,234409,"(Decimal('86.864303'), Decimal('53.805377'))"
Novosibirsk (North),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('82.667491'), Decimal('55.009425'))"
Novosibirsk (Tolmachyovo),2017,304096,270965,315856,332230,375242,464547,532695,526621,482259,410964,389435,2372.6,4809605,"(Decimal('82.667491'), Decimal('55.009425'))"
New Urengoy,2017,66724,63573,71409,74645,79148,87978,92048,90595,84819,74999,72689,333.8,937628,"(Decimal('76.522422'), Decimal('66.072965'))"
Nogliki,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('143.140926'), Decimal('51.788476'))"
Norilsk,2017,31826,27544,36436,39720,57964,25999,35021,34748,50500,43411,38895,1191.7,461723,"(Decimal('87.342342'), Decimal('69.325039'))"
Norilьsk (But),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('87.342342'), Decimal('69.325039'))"
Noyabrsk,2017,12395,12520,14385,15935,18377,19708,23323,22372,18999,17116,16157,66.14,209479,"(Decimal('75.274455'), Decimal('63.181841'))"
Нюрба,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('118.364259'), Decimal('63.298313'))"
Nyagan,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('65.605995'), Decimal('62.101946'))"
Luengo,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('156.534636'), Decimal('51.501392'))"
Olekminsk,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('120.464672'), Decimal('60.397143'))"
SUV,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('112.47608'), Decimal('68.514229'))"
ohm,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('46.507902'), Decimal('66.65247'))"
Omolon,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('160.545443'), Decimal('65.236944'))"
Omsk (central),2017,60906,53261,60508,61102,72567,93964,113626,113829,99040,77195,68332,355,948248,"(Decimal('73.007305'), Decimal('55.085528'))"
Omsukçan,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('155.740193'), Decimal('62.459104'))"
Eagle (South),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('36.01938'), Decimal('52.932788'))"
Orenburg (central),2017,42245,37587,42514,47232,62105,73509,97385,98883,81349,58723,50848,135.64,744303,"(Decimal('55.457063'), Decimal('51.79139'))"
Orsk,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('58.593863'), Decimal('51.076909'))"
Ossora,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('163.064409'), Decimal('59.232256'))"
Okha,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('142.890431'), Decimal('53.517945'))"
Okhotsk,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('143.065575'), Decimal('59.413192'))"
Palana,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('159.892476'), Decimal('59.0835'))"
Pahachi,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('169.120483'), Decimal('60.555631'))"
Pevek,2017,1564,1335,2286,2309,1741,2512,2292,1935,3213,1997,1799,112,24226,"(Decimal('170.602999'), Decimal('69.788315'))"
Penza,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('45.023041'), Decimal('53.118367'))"
Perm (Bakharevka),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('56.010461'), Decimal('57.91612'))"
Perm (Bolshoye Savino),2017,84648,78030,87616,90408,112375,134322,148169,146642,134884,114648,101320,206.53,1338373,"(Decimal('56.010461'), Decimal('57.91612'))"
Gerbil (Kolguev Island),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('50.249107'), Decimal('69.186265'))"
Petrozavodsk (Besovets),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('34.156265'), Decimal('61.877798'))"
Petrozavodsk (Sands),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('34.156265'), Decimal('61.877798'))"
Petropavlovsk (Yelizovo),2017,36383,30629,39336,43654,50340,63088,80969,89235,76206,55891,44456,867.75,658689,"(Decimal('158.425285'), Decimal('53.169328'))"
Pechora,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('57.142913'), Decimal('65.116912'))"
pioneer,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('76.278861'), Decimal('59.152775'))"
Plast,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('136.289996'), Decimal('44.815586'))"
Podkamyennaya Tunguska,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('90.009799'), Decimal('61.599826'))"
Pauline Osipenko,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('136.473657'), Decimal('52.43876'))"
Polar,2017,3399,3438,3782,3657,5186,6249,6612,7353,5537,4613,3900,41.17,58237,"(Decimal('112.038215'), Decimal('66.400137'))"
Providence (Providence Harbor),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('-173.230419'), Decimal('64.38401'))"
Pskov (crosses),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('28.392072'), Decimal('57.797486'))"
Rogachevo (Amderma-2),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('52.477414'), Decimal('71.609701'))"
Rostov-on-Don,2017,188648,170579,193315,197326,232182,247027,270007,264191,250469,242538,233072,86.52,2532266,"(Decimal('39.929081'), Decimal('47.488342'))"
Rostov-on-Don (fee),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('39.929081'), Decimal('47.488342'))"
Sabetta,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('72.046997'), Decimal('71.219177'))"
Sakkırır,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('130.399707'), Decimal('67.792415'))"
Salekhard,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('66.586569'), Decimal('66.59012'))"
Samara (Kurumoch),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('50.157667'), Decimal('53.512259'))"
Samara (Smyshlyaevka),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('50.157667'), Decimal('53.512259'))"
Sangar,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('127.4196'), Decimal('63.958127'))"
Saint Petersburg (Pulkovo),2017,982522,897544,1018974,1147043,1396650,1700237,1917052,1881419,1668519,1343690,1089829,2501,16125520,"(Decimal('30.273027'), Decimal('59.79977'))"
Saransk,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('45.217131'), Decimal('54.137932'))"
Saratov (central),2017,28843,29673,32985,35451,40066,47998,54640,54491,48220,40495,35430,44.8,481503,"(Decimal('106.644236'), Decimal('47.454355'))"
Saskılah,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('114.084658'), Decimal('71.92841'))"
Svetlogorsk,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('88.410025'), Decimal('66.842607'))"
North-Yenisei,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('93.016353'), Decimal('60.373043'))"
North Even,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('159.230687'), Decimal('61.919039'))"
Seymçan,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('152.413453'), Decimal('62.923512'))"
Simferopol,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('33.980968'), Decimal('45.036235'))"
sheaf,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('47.019969'), Decimal('66.739116'))"
Sobolevo,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('155.966326'), Decimal('54.305068'))"
Sovetskaya Gavan,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('140.052545'), Decimal('48.933734'))"
Soviet,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('63.600884'), Decimal('61.331802'))"
Solovki,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('35.723241'), Decimal('65.029939'))"
Sochi,2017,323122,345175,376042,362529,429930,606684,766415,776555,670025,428078,294780,246.11,5681974,"(Decimal('39.941316'), Decimal('43.44837'))"
Среднеколымск,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('153.718705'), Decimal('67.46549'))"
Stavropol (Shpakovskoye),2017,24691,21941,26243,30513,30705,28533,26835,30589,36029,34807,32216,83,356210,"(Decimal('42.105169'), Decimal('45.112737'))"
Stary Oskol,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('37.76778'), Decimal('51.32412'))"
Strezhevoy,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('77.64952'), Decimal('60.717274'))"
Samsearn,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('117.640738'), Decimal('62.183775'))"
Surgut,2017,110671,104640,119064,122102,127804,173775,208833,205466,161852,131494,126547,348.6,1721044,"(Decimal('73.40807'), Decimal('61.340204'))"
Syktyvkar,2017,30697,28898,32638,34003,39757,53683,64880,64664,52673,41595,34693,83.91,511582,"(Decimal('50.851293'), Decimal('61.663805'))"
Taganrog (Southern),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('38.880433'), Decimal('47.197978'))"
Taz,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('78.647108'), Decimal('67.484725'))"
Таксимо,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('114.922175'), Decimal('56.360153'))"
Talakan,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('111.038938'), Decimal('59.867032'))"
Tambov,2017,917,1525,1925,1921,2419,3168,4020,4453,3803,2673,2336,0,31294,"(Decimal('41.491404'), Decimal('52.803629'))"
Container,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('74.288446'), Decimal('56.904246'))"
Tarko-Sale,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('77.789172'), Decimal('64.922685'))"
Shalym,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('87.826031'), Decimal('52.766419'))"
Tigil,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('158.713895'), Decimal('57.776817'))"
Tiksi,2017,677,1047,1368,1280,1460,1922,2071,2074,1669,1483,870,76.91,17253,"(Decimal('128.888094'), Decimal('71.698596'))"
Tilichiki,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('166.026819'), Decimal('60.382823'))"
Tobolsk,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,Not found
Tolka,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('82.049414'), Decimal('63.989903'))"
Tomsk (Bogashevo),2017,40790,38717,44310,47454,51420,59299,67126,68388,60103,51449,44156,222.34,617717,"(Decimal('85.209517'), Decimal('56.388412'))"
Troitsky-Pechora,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,Not found
Tugur,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('136.832992'), Decimal('53.775856'))"
Travel (Mountain),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('100.430957'), Decimal('64.329908'))"
Turukhansk,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('87.929463'), Decimal('65.795497'))"
Ust-Tsilma,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('124.760632'), Decimal('55.282031'))"
Tyumen (Plekhanovo),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('65.395861'), Decimal('57.168009'))"
Tyumen (Roschino),2017,113543,109110,119633,127192,150729,183441,213143,214632,179483,143984,131042,433.3,1822909,"(Decimal('65.348628'), Decimal('57.181514'))"
Uda,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,Not found
Ulan Ude (Mukhino),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('107.443646'), Decimal('51.804919'))"
Ulyanovsk (Barataevka),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('48.798606'), Decimal('54.41412'))"
Ulyanovsk (East),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('48.798606'), Decimal('54.41412'))"
Nyagan,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('64.82368'), Decimal('60.117041'))"
Flora,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('134.439745'), Decimal('57.726967'))"
Urengoy,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('78.433372'), Decimal('65.963601'))"
Usinsk,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('57.376287'), Decimal('66.00273'))"
Ust-Kamchatsk,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('162.695013'), Decimal('56.237582'))"
Ust-Kara,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('64.954205'), Decimal('69.254814'))"
Ust-Kuyga,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('135.627498'), Decimal('70.006067'))"
Ust-Kut,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('105.716276'), Decimal('56.857224'))"
Ust-Maya,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('134.452645'), Decimal('60.364288'))"
Ust-Nera,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('143.118711'), Decimal('64.549707'))"
Ust-Khairyuzovo,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('156.738087'), Decimal('57.094231'))"
Ust-Tsilma,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('52.18592'), Decimal('65.432179'))"
Ufa,2017,171739,155316,177796,192087,238587,284752,308839,307451,281008,239374,213049,412.28,2794407,"(Decimal('55.883529'), Decimal('54.566329'))"
Ukhta,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('53.804729'), Decimal('63.555549'))"
Khabarovsk (MVL),2017,279,246,420,614,518,402,492,1314,527,589,500,7.95,6313,"(Decimal('135.171082'), Decimal('48.525706'))"
Khabarovsk (New),2017,130419,119384,137009,148096,158841,191982,232673,235189,205716,178703,154536,2487.45,2047092,"(Decimal('135.171082'), Decimal('48.525706'))"
royal,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('136.849746'), Decimal('62.786965'))"
Khanty-Mansiysk,2017,14189,14232,15933,17155,17422,27310,27193,28899,23945,21735,23552,62.17,254537,"(Decimal('69.095798'), Decimal('61.026144'))"
Harwell,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('59.555959'), Decimal('66.84556'))"
Khatanga,2017,1721,1527,2513,3153,3554,3332,3179,4001,3191,3127,2601,307.64,34781,"(Decimal('102.473016'), Decimal('71.978434'))"
Herpuchi,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('138.824395'), Decimal('52.976379'))"
Honuu (Girl),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('143.251985'), Decimal('66.451866'))"
Khorey Vere,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('58.04802'), Decimal('67.416494'))"
remedy,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('118.27157'), Decimal('56.912812'))"
Cheboksary,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('47.320195'), Decimal('56.082722'))"
Chyegdomyn,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,Not found
Chelyabinsk (Balandino),2017,95420,85285,95815,97507,121471,145982,168385,167058,147848,123262,109317,333.35,1469769,"(Decimal('61.509282'), Decimal('55.298164'))"
Cherepovets,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('38.02088'), Decimal('59.281551'))"
Cherskiy,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('161.32298'), Decimal('68.747259'))"
Chizha,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('44.366705'), Decimal('67.084013'))"
Reads (tub),2017,22949,20034,21880,24637,27730,34182,43877,44256,34996,31015,25445,335.69,358674,"(Decimal('113.306492'), Decimal('52.020464'))"
Çokurdah,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('147.90427'), Decimal('70.623269'))"
Çumikan,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('135.28347'), Decimal('54.69673'))"
Şarıpovo,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('89.169766'), Decimal('55.458343'))"
Shakhtars'k,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('142.076602'), Decimal('49.189684'))"
Şoyna,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('44.156661'), Decimal('67.872927'))"
Shushenskoe,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('92.048274'), Decimal('53.388274'))"
Egvekinot (Bay Cross),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('-179.089626'), Decimal('65.885249'))"
Ekimçan,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('132.950411'), Decimal('53.074423'))"
Elista,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('44.330575'), Decimal('46.369401'))"
ESSO,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('158.709467'), Decimal('55.93715'))"
South kurilsk (Mendeleevo),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('145.681308'), Decimal('43.959284'))"
Yuzhno-(Khomutovo),2017,64779,60881,66912,68086,76581,93582,109292,115617,95252,81495,75396,1038.54,985211,"(Decimal('142.723677'), Decimal('46.886967'))"
Yakutsk,2017,49666,48331,62926,67360,68018,94852,106553,110232,89084,76601,62824,1448.48,902463,"(Decimal('129.750225'), Decimal('62.086594'))"
Yakutsk (Magan),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('-6.226888'), Decimal('8.607871'))"
Yamburg,2017,5396,5711,5232,5613,5092,4847,4895,4826,5048,5155,4946,0.07,62419,"(Decimal('75.097783'), Decimal('67.980026'))"
Yaroslavl (Tunoshna),2017,743,400,519,406,1223,2979,3650,3978,4669,1561,1653,723.92,23817,"(Decimal('40.170054'), Decimal('57.56231'))"
Yartsevo,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('90.203907'), Decimal('60.252931'))"
Abakan,2016,10773,9328,10665,12014,14035,19881,22877,24326,17307,13986,12677,94.01,181196,"(Decimal('91.399735'), Decimal('53.751351'))"
Aikhal,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('111.543324'), Decimal('65.957161'))"
Loss,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('125.398355'), Decimal('58.602489'))"
Amderma,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('61.577429'), Decimal('69.759076'))"
Anadyr,2016,2826,3684,4826,6537,7420,9898,11075,11788,9679,7010,8287,108.43,90040,"(Decimal('177.738273'), Decimal('64.713433'))"
Anapa (Vitjazevo),2016,28780,27343,36550,45181,75407,235794,307103,311517,201545,69732,41604,69.82,1418070,"(Decimal('37.341511'), Decimal('45.003748'))"
Antypayuta,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,Not found
Apatite (Khibiny),2016,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('33.581999'), Decimal('67.459641'))"
Arkhangelsk (Vaskovo),2016,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('40.706789'), Decimal('64.592645'))"
Arkhangelsk (Talagy),2016,45914,45853,53087,51815,55299,70177,78358,81930,68676,62284,58171,420.1,729714,"(Decimal('40.714892'), Decimal('64.596138'))"
Astrakhan (Narimanovo),2016,36148,36111,40325,45446,48395,43610,46268,47846,51882,49920,38759,86.44,524261,"(Decimal('47.999896'), Decimal('46.287344'))"
Achinsk,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('90.566467'), Decimal('56.271301'))"
Trip,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('138.042241'), Decimal('56.431311'))"
Auctions,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('113.479076'), Decimal('54.369366'))"
Baykit,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('96.366763'), Decimal('61.681612'))"
Barnaul (Titov Name),2016,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('83.547723'), Decimal('53.361377'))"
